seq,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,upper_leg,left_right,pocket,steps
85,-0.27246094,0.8652344,-0.30859375,-35.59375,-14.125,-27.46875,1,0,1,10
86,-0.17382812,1.2216797,-0.39941406,-6.96875,-31.15625,-8.3125,1,0,1,10
87,-0.265625,0.8076172,-0.013671875,63.21875,14.4375,28,1,0,1,10
88,0.22363281,1.6708984,0.03125,88.125,63.21875,40.15625,1,0,1,10
89,-0.16113281,0.73339844,-0.35058594,17.25,92.21875,39.28125,1,0,1,10
90,-0.17871094,0.8046875,-0.29003906,-3.4375,41.0625,-24.125,1,0,1,10
91,0.3388672,1.0175781,-0.25683594,-57.8125,-27.40625,-33.15625,1,0,1,10
92,0.35058594,1.1621094,-0.034179688,-28.03125,27.09375,8.28125,1,0,1,10
93,-0.33789062,0.5859375,-0.021484375,-92.125,41.125,3.78125,1,0,1,10
94,-0.56347656,1.2597656,-0.40527344,61.4375,-17.53125,-28.28125,1,0,1,10
95,0.061523438,0.9033203,-0.25976562,44.59375,-115.375,-6.53125,1,0,1,10
96,0.13964844,1.0166016,-0.119140625,-26.6875,-6.25,-23.625,1,0,1,10
97,-0.19628906,0.8769531,-0.3232422,-30.71875,37.09375,-44.9375,1,0,1,10
98,-0.40039062,1.0537109,-0.33691406,2.5,12.375,-22.125,1,0,1,10
99,-0.17578125,1.0615234,0.055664062,1.15625,-8.5,29.78125,1,0,1,10
100,-0.21289062,0.6230469,0.013671875,85.96875,-17.21875,71.34375,1,0,1,10
101,0.043945312,1.1074219,-0.12402344,76.53125,112.78125,5.65625,1,0,1,10
102,-0.22363281,0.7734375,-0.3173828,9.75,101.0625,-0.6875,1,0,1,10
103,-0.14355469,0.80371094,-0.3154297,-25.09375,46.1875,-49.09375,1,0,1,10
104,0.20996094,0.9482422,-0.5605469,-19.375,9.6875,4.5625,1,0,1,10
105,-0.049804688,1.0888672,-0.033203125,-31.03125,70.25,-2.59375,1,0,1,10
106,-0.22265625,0.7158203,-0.11425781,-54.21875,80.84375,-32.4375,1,0,1,10
